,Name,Tags
328,Empire of the Sun,electronic synthpop australian electronica synthpop
329,Bon Jovi,rock hardrock classicrock 80s hairmetal
330,Migos,Hip-Hop trap rap hiphop atlanta
331,Joy Division,post-punk newwave 80s alternative indie
332,Destroy Lonely,opium trap rap rage Womanbeater
333,Zedd,electronic electrohouse House electro dubstep
334,G-Eazy,Hip-Hop rap hiphop seenlive LilWayne
335,Pop Smoke,drill rap trap Hip-Hop hiphop
336,Björk,electronic alternative experimental femalevocalists icelandic
337,Soundgarden,Grunge rock alternativerock alternative hardrock
338,Kiss Of Life,k-pop pop Kpop Korean rnb
339,FKA twigs,trip-hop electronic experimental dreampop artpop
340,Christina Aguilera,pop femalevocalists soul rnb dance
341,Vance Joy,folk indie singer-songwriter australian acoustic
342,Crumb,indierock indie dreampop psychedelic psychedelicpop
343,Karol G,Reggaeton pop latin latinpop Colombia
344,Cafuné,indiepop dreampop pop alternative indierock
345,Sevdaliza,electronic rnb pop spam femalevocalists
346,DJ Snake,electronic trap dance EDM french
347,ENHYPEN,k-pop Kpop Korean pop boygroup
348,STRAY KIDS,k-pop pop Kpop Korean Hip-Hop
349,Flo Milli,Hip-Hop rap trap hiphop femalevocalists
350,Akon,Hip-Hop rnb rap hiphop pop
351,Ice Cube,rap Hip-Hop GangstaRap westcoast hiphop
352,R.E.M.,rock alternativerock alternative indie seenlive
353,Swedish House Mafia,House electronic dance electrohouse electro
354,Azealia Banks,Hip-Hop rap electronic femalevocalists seenlive
355,Major Lazer,seenlive dancehall electronic reggae dub
356,The Beach Boys,classicrock 60s pop Surf rock
357,Tiësto,trance electronic dance techno electronica
358,New Order,newwave electronic post-punk 80s alternative
359,Cavetown,pop seenlive indie indiepop bedroompop
360,A$AP Ferg,Hip-Hop trap rap hiphop swag
361,No Doubt,rock pop ska alternative femalevocalists
362,Montell Fish,gospel soul Hip-Hop electronic rnb
363,Car Seat Headrest,Lo-Fi seenlive indie indierock noisepop
364,Fred again..,seenlive House electronic dance UKGarage
365,Earl Sweatshirt,Hip-Hop rap ofwgkta undergroundhip-hop swag
366,Kaytranada,seenlive electronic Hip-Hop beats experimental
367,Rammstein,industrialmetal metal industrial german rock
368,ROAR,indiepop arizona indie seenlive thrashmetal
369,M83,electronic shoegaze post-rock indie electronica
370,Richy Mitch & The Coal Miners,folk indie acoustic indiefolk indierock
371,(G)I-DLE,k-pop pop Korean Kpop girlgroup
372,Ayesha Erotica,electropop pop ghettotech electronic miamibass
373,A BOOGIE WIT DA HOODIE,rap Hip-Hop hiphop trap seenlive
374,Ive,k-pop pop Kpop femalevocalists Korean
375,Nickelback,rock alternativerock hardrock alternative Canadian
376,Blondie,newwave 80s rock femalevocalists pop
377,*NSYNC,pop boybands 90s dance seenlive
378,Duran Duran,newwave 80s pop synthpop rock
379,Gucci Mane,Hip-Hop rap trap DirtySouth hiphop
380,DJ Khaled,Hip-Hop rap hiphop miami djs
381,Her's,dreampop janglepop indie indiepop post-punk
382,Queens of the Stone Age,StonerRock rock alternativerock seenlive hardrock
383,Rage Against the Machine,rock alternativerock alternative political metal
384,Aerosmith,rock classicrock hardrock 80s 70s
385,Bob Marley & The Wailers,reggae rootsreggae ska roots classicrock
386,Jack Harlow,rap Hip-Hop trap poprap hiphop
387,alt-J,indie electronic seenlive british alternative
388,Nine Inch Nails,industrial industrialrock rock alternative electronic
389,Tyla,rnb pop rock southafrica amapiano
390,Kylie Minogue,pop dance femalevocalists australian electronic
